级别,车型,报价(单位：万)
SUV,野马T70,暂无报价
SUV,众泰SR7,暂无报价
SUV,柯兰多,"('13.98', '24.98')"
SUV,超级维特拉,暂无报价
SUV,御风S16,暂无报价
SUV,森雅S80,暂无报价
SUV,景逸X3,"('6.69', '8.69')"
SUV,科雷缤,暂无报价
SUV,海马骑士,暂无报价
SUV,东风风度MX6,暂无报价
SUV,北汽幻速S2,暂无报价
SUV,宝利格,"('11.58', '11.58')"
SUV,众泰T800,暂无报价
SUV,飞腾,暂无报价
SUV,迈威,暂无报价
SUV,爱腾,"('15.48', '21.98')"
SUV,格越,"('25.60', '38.78')"
SUV,陆风X9,暂无报价
SUV,讴歌RDX（进口）,"('39.98', '45.98')"
SUV,悍马H3,暂无报价
SUV,猎豹CS6,暂无报价
SUV,陆风X6,暂无报价
SUV,绅宝X55,"('7.68', '11.98')"
SUV,MINI PACEMAN,暂无报价
SUV,雪铁龙C4 Aircross,"('19.98', '27.98')"
SUV,众泰T600 Coupe,暂无报价
SUV,力帆X60,暂无报价
SUV,猎豹CS9新能源,暂无报价
SUV,双环SCEO,暂无报价
SUV,旗胜F1,暂无报价
SUV,启辰T70X,"('11.68', '13.38')"
SUV,奥轩GX5,暂无报价
SUV,众泰T200,暂无报价
SUV,标致4008(进口),暂无报价
SUV,北汽幻速S3L,暂无报价
SUV,东风风度MX5,"('10.35', '13.55')"
SUV,观境,暂无报价
SUV,宝马X1(进口),暂无报价
SUV,霸锐,"('41.68', '41.68')"
SUV,英致G5,暂无报价
SUV,英致G3,暂无报价
SUV,威麟X5,暂无报价
SUV,奔腾X40新能源,暂无报价
SUV,特拉卡,暂无报价
SUV,旗胜V3,"('10.18', '11.38')"
SUV,野马F12,暂无报价
SUV,威飒,暂无报价
SUV,帕杰罗速跑,暂无报价
SUV,英菲尼迪ESQ,暂无报价
SUV,锐骐多功能车,暂无报价
SUV,凯翼V3,暂无报价
SUV,圣达菲,"('6.98', '16.18')"
SUV,北京BW007,暂无报价
SUV,享御,暂无报价
SUV,安德拉,暂无报价
SUV,风光580新能源,暂无报价
SUV,陆霸,暂无报价
SUV,景逸XV,"('7.99', '8.69')"
SUV,领途K-ONE,暂无报价
SUV,金杯S50,暂无报价
SUV,永源A380,暂无报价
SUV,野马F10,暂无报价
SUV,挑战者SUV,暂无报价
SUV,大切诺基 SRT,"('120.49', '120.49')"
SUV,野马F16,暂无报价
SUV,战剑,暂无报价
SUV,翱龙CUV,暂无报价
SUV,力帆X50,暂无报价
SUV,RALLY FIGHTER,暂无报价
SUV,瑞铃,"('6.18', '8.29')"
SUV,猎鹰,暂无报价
SUV,伽途GT,暂无报价
SUV,大力神,"('6.68', '9.48')"
SUV,北汽007,暂无报价
SUV,萨瓦纳,暂无报价
SUV,广汽吉奥GX6,暂无报价
SUV,中兴GX3,暂无报价
SUV,启腾V60,暂无报价
SUV,蒂维拉,"('12.98', '18.98')"
SUV,帅舰,暂无报价
SUV,全球鹰EX3,暂无报价
SUV,众泰T300新能源,暂无报价
大型车,宝马7系,"('82.80', '242.80')"
大型车,奥迪A8,"('84.28', '194.28')"
大型车,奔驰S级,"('85.28', '181.88')"
大型车,Panamera,"('97.30', '245.80')"
大型车,雷克萨斯LS,"('87.80', '118.00')"
大型车,迈巴赫S级,"('139.88', '319.88')"
大型车,宝马8系,"('96.80', '126.80')"
大型车,总裁,"('140.58', '194.08')"
大型车,飞驰,"('251.80', '390.00')"
大型车,幻影,"('790.00', '920.00')"
大型车,古思特,"('450.00', '786.00')"
大型车,奔驰S级AMG,"('227.88', '307.88')"
大型车,Panamera新能源,"('116.80', '248.30')"
大型车,总裁美版,"('119.00', '189.00')"
大型车,IMSA英飒-迈巴赫S级,"('145.88', '156.88')"
大型车,奔驰S级美版,"('132.00', '199.00')"
大型车,奔驰S级加版,"('168.00', '278.00')"
大型车,Panamera加版,"('135.00', '175.00')"
大型车,迈巴赫S级美版,"('288.00', '400.00')"
大型车,宝马7系新能源,"('106.80', '115.80')"
大型车,Panamera美版,"('165.00', '188.00')"
大型车,迈巴赫S级欧版,"('360.00', '1688.00')"
大型车,迈巴赫S级墨版,"('428.00', '428.00')"
大型车,Lorinser MAYBACH S级,"('218.80', '238.80')"
大型车,IMSA英飒-奔驰S级,"('130.18', '130.18')"
大型车,捷豹XJ,"('88.80', '106.80')"
大型车,辉腾,暂无报价
大型车,慕尚,暂无报价
大型车,迈巴赫,暂无报价
大型车,红旗L5,暂无报价
大型车,Rapide,"('279.80', '286.80')"
大型车,奔驰S级新能源,"('175.80', '175.80')"
大型车,主席,"('41.80', '69.80')"
大型车,慕尚美版,暂无报价
大型车,泰卡特 T9,暂无报价
跑车,保时捷911,"('126.50', '247.30')"
跑车,Panamera,"('97.30', '245.80')"
跑车,保时捷718,"('54.50', '98.60')"
跑车,宝马M8,"('196.80', '256.80')"
跑车,宝马2系,"('26.38', '33.98')"
跑车,奔驰CLS,"('57.68', '78.98')"
跑车,Mustang,"('36.98', '39.58')"
跑车,奥迪TT,"('45.38', '53.28')"
跑车,奥迪R8,"('195.28', '275.34')"
跑车,AMG GT,"('98.48', '229.88')"
跑车,宝马Z4,"('48.88', '63.38')"
跑车,奥迪S5,"('61.98', '70.88')"
跑车,欧陆,"('275.10', '420.00')"
跑车,阿斯顿·马丁DB11,"('220.80', '298.80')"
跑车,宝马M2,"('63.38', '64.38')"
跑车,法拉利488,"('408.00', '449.90')"
跑车,捷豹F-TYPE,"('58.20', '91.80')"
跑车,法拉利F8,"('298.80', '341.80')"
跑车,丰田86,"('27.78', '28.78')"
跑车,Huracan,"('254.00', '390.00')"
跑车,野马加版,"('35.00', '52.00')"
跑车,科迈罗,"('39.99', '39.99')"
跑车,阿斯顿·马丁DBS,"('366.80', '500.70')"
跑车,V8 Vantage,"('181.80', '259.80')"
跑车,奔驰SLC级,"('50.68', '62.38')"
跑车,迈凯伦720S,"('339.80', '378.80')"
跑车,法拉利812,"('485.90', '530.00')"
跑车,Aventador,"('613.70', '920.47')"
跑车,魅影,"('505.00', '875.00')"
跑车,雷克萨斯LC,"('115.50', '126.50')"
跑车,挑战者美版,"('43.80', '185.00')"
跑车,英菲尼迪Q60,"('35.88', '37.78')"
跑车,奥迪TT RS,"('76.98', '76.98')"
跑车,雷克萨斯RC,"('44.60', '49.60')"
跑车,欧陆欧版,"('285.00', '530.00')"
跑车,Roma,"('238.00', '238.00')"
跑车,迈凯伦570,"('243.60', '270.80')"
跑车,奥迪TTS,"('59.78', '63.48')"
跑车,曜影,"('520.00', '620.00')"
跑车,Portofino,"('263.80', '263.80')"
跑车,迈凯伦GT,"('198.80', '198.80')"
跑车,马自达MX-5,"('33.90', '34.00')"
跑车,SF90 Stradale,"('398.80', '398.80')"
跑车,迈凯伦540C,"('220.00', '220.00')"
跑车,迈凯伦600LT,"('292.30', '319.50')"
跑车,玛莎拉蒂MC20,"('210.00', '210.00')"
跑车,GranTurismo,"('219.80', '288.80')"
跑车,GT-R加版,"('158.00', '168.00')"
跑车,讴歌NSX,"('289.00', '289.00')"
跑车,X-BOW,"('139.80', '139.80')"
跑车,保时捷911美版,"('360.00', '460.00')"
跑车,科迈罗美版,"('36.60', '36.60')"
跑车,奔驰SL级,暂无报价
跑车,科迈罗加版,"('52.60', '52.60')"
跑车,Huayra,"('2900.00', '2900.00')"
跑车,Evora,"('97.20', '97.20')"
跑车,Supra加版,"('99.00', '99.00')"
跑车,Polestar 1,"('145.00', '145.00')"
跑车,总裁中东版,"('108.00', '128.00')"
跑车,GranCabrio,"('268.80', '302.80')"
跑车,Gemera,暂无报价
跑车,总裁加版,"('116.80', '140.00')"
跑车,迈凯伦765LT,暂无报价
跑车,日产GT-R,"('162.80', '235.00')"
跑车,法拉利458,暂无报价
跑车,劳恩斯-酷派,暂无报价
跑车,斯巴鲁BRZ,暂无报价
跑车,GTC4Lusso,暂无报价
跑车,Gallardo,暂无报价
跑车,V12 Vantage,"('289.80', '309.80')"
跑车,阿斯顿·马丁DB9,"('341.80', '373.80')"
跑车,Boxster,暂无报价
跑车,Cayman,"('72.70', '111.80')"
跑车,Vanquish,暂无报价
跑车,日产370Z,"('52.50', '64.50')"
跑车,Agera,"('2650.00', '2650.00')"
跑车,速迈,暂无报价
跑车,迈凯伦12C,暂无报价
跑车,巴博斯SLK级,"('62.00', '62.00')"
跑车,Coupe,暂无报价
跑车,世爵C8,暂无报价
跑车,摩根Plus 8,"('248.00', '248.00')"
跑车,Exige,"('82.00', '82.00')"
跑车,Zonda,暂无报价
跑车,赛麟科迈罗,暂无报价
跑车,如虎 CTR 3,"('550.00', '550.00')"
跑车,赛麟Mustang,暂无报价
跑车,威兹曼GT,暂无报价
跑车,3 Wheeler,"('88.00', '89.36')"
跑车,摩根Aero,"('323.75', '417.19')"
轻客,全顺,"('12.64', '19.80')"
轻客,依维柯欧胜,"('13.59', '32.59')"
轻客,新世代全顺,"('16.36', '27.58')"
轻客,上汽大通MAXUS V80,"('10.28', '24.56')"
轻客,上汽大通MAXUS V90,"('14.78', '24.96')"
轻客,图雅诺,"('9.57', '22.98')"
轻客,金杯海狮,"('6.18', '9.38')"
轻客,长安睿行M80,"('5.85', '7.71')"
轻客,依维柯得意,"('11.84', '17.00')"
轻客,特顺,"('9.58', '13.90')"
轻客,阁瑞斯,"('8.88', '27.78')"
轻客,长安睿行M90,"('6.85', '9.25')"
轻客,睿行M70,"('6.05', '7.40')"
轻客,瑞风,"('9.99', '16.38')"
轻客,蒙派克E,"('7.46', '10.85')"
轻客,风景G7,"('7.16', '10.66')"
轻客,金杯快运,"('6.99', '9.63')"
轻客,星锐,"('10.97', '21.78')"
轻客,风景G9,"('9.98', '19.00')"
轻客,御风,"('10.38', '28.58')"
轻客,海狮S,"('5.08', '6.38')"
轻客,凌特,"('37.60', '49.30')"
轻客,金杯大海狮,"('9.48', '25.28')"
轻客,依维柯褒迪,"('14.39', '32.49')"
轻客,风景G5,"('7.47', '15.39')"
轻客,金旅海狮,"('7.08', '10.78')"
轻客,柯斯达,"('41.84', '55.89')"
轻客,北汽幻速H6,"('5.98', '7.53')"
轻客,睿行EM80,"('13.58', '13.98')"
轻客,九龙A4,"('12.18', '17.88')"
轻客,宇通CL6,"('27.98', '27.98')"
轻客,金威,"('6.75', '9.58')"
轻客,依维柯Ouba,"('27.57', '34.69')"
轻客,HIACE,"('42.00', '42.00')"
轻客,凯锐浩克,"('7.58', '18.80')"
轻客,凯歌,"('17.70', '18.90')"
轻客,凯特,"('13.88', '25.00')"
轻客,宇通T7,"('38.80', '78.80')"
轻客,福田风景,暂无报价
轻客,东风比克W101,"('22.96', '22.96')"
轻客,蒙派克S,"('13.90', '16.70')"
轻客,开沃D10,"('14.88', '16.88')"
轻客,九龙A5,"('14.78', '21.60')"
轻客,海格H5C,"('16.53', '24.68')"
轻客,御风EV,"('18.80', '48.00')"
轻客,海格H7V,"('20.88', '20.88')"
轻客,特顺新能源,"('20.60', '24.68')"
轻客,考斯特,"('23.98', '25.98')"
轻客,上汽大通MAXUS RV80,"('31.68', '45.98')"
轻客,海格H6C,"('18.98', '22.13')"
轻客,图雅诺EV,"('26.47', '29.72')"
轻客,海格H5V,"('21.08', '29.28')"
轻客,康恩迪,"('39.60', '49.00')"
轻客,金杯海狮王,"('8.49', '11.59')"
轻客,金旅大海狮新能源,"('75.00', '75.00')"
轻客,开沃D09,暂无报价
轻客,瑞途,"('10.28', '11.18')"
轻客,开沃D11,"('24.98', '24.98')"
轻客,金旅海狮新能源,"('9.28', '15.98')"
轻客,威麟H5,"('20.68', '22.68')"
轻客,上汽大通MAXUS EV90,"('21.90', '33.90')"
轻客,海格H6V,"('70.80', '70.80')"
轻客,瑞途新能源,"('25.98', '25.98')"
轻客,金旅大海狮,"('16.68', '22.88')"
轻客,经典全顺,暂无报价
轻客,碧莲,"('79.80', '126.80')"
